Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Court Square Capital Partners","Court Square Capital Partners",a628963f-b21b-4849-8ddd-3c8a022a2149,YES,YES,YES,"https://linkedin.com/in/court-square-capital-partners","PE firm backing tech services distributor Avant","SaaS; AI/ML","Seed; Series A"
"Courtney Chow","Battery Ventures",e30a750a-9daa-42e5-9420-792bf37723e2,YES,YES,YES,"https://linkedin.com/in/courtney-chow","Boston-based VC firm investing in software and life sciences.","AI/ML; API; SaaS","Seed; Series A; Series B"
"Cowboy Ventures","Cowboy Ventures",9f7c19bf-3b67-4fba-95f9-d2e15f53f03e,YES,YES,YES,"https://linkedin.com/in/cowboy-ventures","Seed stage venture capital firm","SaaS; AI/ML","Seed; Series A"
"CPP Investments","CPP Investments",f2726410-e431-41b1-bbe4-0f45542a9447,YES,YES,YES,"https://linkedin.com/in/cpp-investments","PE firm with GIP completing Allete take-private","SaaS; AI/ML","Seed; Series A"
"Craig Naylor (A16zcrypto)","Andreessen Horowitz",f4b78aab-7026-4663-9bd4-4fdedf3003a2,YES,YES,NO,"https://linkedin.com/in/craig-naylor","Craig Naylor is a partner at Andreessen Horowitz. Invests in software eating the world - consumer, enterprise, crypto, bio across all stages","AI/ML; Crypto; SaaS; Consumer; Defense; Robotics","Seed; Series A; Series B; Growth"
"Creative Ventures","Creative Ventures",6ab6e1d7-81f7-4613-b189-db9386abedd8,YES,NO,YES,"https://linkedin.com/in/creative-ventures","Creative Ventures is a vc firm focused on Enterprise Software, AR/VR, Food/Beverage investing at Seed stage.","Enterprise Software; AR/VR; Food/Beverage; Hardware","Seed"
"Crispin Read","Crispin Read",ed13d527-d813-4e31-b614-a38c296e4983,YES,YES,YES,"","Managing Director at Insight Partners","SaaS; AI/ML",""
"Crosslink Capital","Crosslink Capital",6925d319-e8d0-49e4-ab60-ff14846a9a14,YES,YES,YES,"https://linkedin.com/in/crosslink-capital","Partnering with ambitious early-stage founders building category-defining companies.","technology","seed; series_a"
"CRV","CRV",0dabaf6d-2f42-4571-8b6a-dbae6d54bdfb,YES,YES,YES,"https://linkedin.com/in/crv","Venture capital firm investing in marketplaces and other sectors","SaaS; AI/ML","Seed; Series A"
"crypto fund","crypto fund",eb3f2849-25ed-4365-9add-2273c7123c97,YES,YES,NO,"https://linkedin.com/in/crypto-fund","","Blockchain; DeFi; NFTs","Seed; Series A"
"crypto partners","crypto partners",b3f54b01-4561-4bb3-b923-75beae25b0e6,YES,YES,NO,"https://linkedin.com/in/crypto-partners","","Blockchain; Fintech; Web3","Seed; Series A"
"Crystal Sacca","Crystal Sacca",af4a749f-5b37-460f-b05a-6fe8606969a2,YES,YES,YES,"https://linkedin.com/in/crystal-sacca","Founding Partner at Lowercarboncapital","SaaS; AI/ML","Seed; Series A"
"Crystal Sacca (Lowercarbon Capital)","Lowercarbon Capital",37a4d251-77ed-487f-b24c-2e34d663e351,YES,YES,NO,"https://linkedin.com/in/crystal-sacca","Founding Partner at Lowercarbon Capital","SaaS; AI/ML","Seed; Series A"
"Crystal Sacca Founding (Lowercarboncapital)","Lowercarbon Capital",0ec5632d-ca29-4feb-a9ae-27680d201f6d,YES,YES,NO,"https://linkedin.com/in/crystal-sacca-founding","Crystal Sacca Founding is a partner at Lowercarbon Capital. Climate tech focused on decarbonization","SaaS; AI/ML; Climate; Energy; DeepTech","Seed; Series A"
"CTOFrankieGeneral PartnerAlpin Yukseloglu","CTOFrankieGeneral PartnerAlpin Yukseloglu",9aaba2c6-edf7-4534-b4d2-b1dd0a52160e,YES,YES,YES,"https://linkedin.com/in/ctofrankiegeneral-partneralpin-yukseloglu","","SaaS; AI/ML","Seed; Series A"
"curate content for (Haystack)","curate content for (Haystack)",e473b495-87f3-42c0-93c3-13f2466bdc37,YES,NO,YES,"https://linkedin.com/in/curate-content-for","curate content for is an investor at Haystack focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"current investors Foothill Ventures","current investors Foothill Ventures",5b42eae7-5cdc-4ba9-8076-8c6e2d2233e0,YES,YES,YES,"","Discovered from: FinSMEs","SaaS","Seed; Series A"
"Customer spotlightFormer (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)","Customer spotlightFormer (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)",2c86a11b-c758-4f7a-a08c-337c9274514a,YES,YES,YES,"https://linkedin.com/in/customer-spotlightformer","","SaaS; AI/ML","Seed; Series A"
"CVC Capital Partners","CVC Capital Partners",46e2c7d2-7a11-4944-9310-a7f05c6bbb07,YES,YES,YES,"https://linkedin.com/in/cvc-capital-partners","Private equity firm with new president Rutland","SaaS; AI/ML","Seed; Series A"
"Cyndi Reseburg","Cyndi Reseburg",86bc12f1-2389-4696-bb39-5c979248e3e7,YES,YES,YES,"https://linkedin.com/in/cyndi-reseburg","Head of Communications at Initialized","SaaS; AI/ML","Seed; Series A"
"Cyndi Reseburg (Initialized)","Initialized Capital",e96682df-a207-4cf8-9cb4-11007e2ec126,YES,YES,NO,"https://linkedin.com/in/cyndi-reseburg","Head of Communications at Initialized","SaaS; Consumer; Developer Tools; AI/ML","Pre-Seed; Seed"
"Damon Guidry","Damon Guidry",b1c4f985-75d6-4c76-abf0-9498e60e2066,YES,YES,YES,"https://linkedin.com/in/damon-guidry","Partner at Nyca Partners","SaaS; AI/ML; Consumer; Fintech","Pre-Seed; Seed"
"Dan Bartus","Dan Bartus",7124cc64-b1db-4bcb-af0a-804feeb4ca69,YES,YES,YES,"https://linkedin.com/in/dan-bartus","Partner, Head of Research at Felicis","SaaS; AI/ML","Seed; Series A"
"Dan Bartus (Felicis)","Dan Bartus (Felicis)",4c1bb629-1640-492f-b487-0667c1340bc4,YES,YES,YES,"https://linkedin.com/in/dan-bartus","","SaaS; Consumer; Fintech","Seed; Series A"
"Dan Boneh (A16zcrypto)","Andreessen Horowitz",ea67baeb-12ba-47f2-b462-7574159d08d8,YES,YES,NO,"https://linkedin.com/in/dan-boneh","Senior Research Advisor at A16zcrypto","AI/ML; Crypto; SaaS; Consumer; Defense; Robotics","Seed; Series A; Series B; Growth"
"Dan Bragiel","Bragiel Brothers",517498f0-a91e-422c-b52b-db1d50273182,YES,YES,NO,"https://linkedin.com/in/dan-bragiel","","AI; SaaS; Fintech","Seed; Series A"
"Dan Gregory","Dan Gregory",095693d7-6e7b-4d67-9b24-f945d4a4b625,YES,YES,YES,"https://linkedin.com/in/dan-gregory","Founding Partner at Greylock, co-founded firm in 1965, served as managing partner","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Dan Gregory (Greylock)","Greylock Partners",b38a5bdb-1465-4992-a15b-5a631c237d94,NO,YES,NO,"https://linkedin.com/in/dan-gregory","Founding Partner - Co-founder of Greylock and pioneer in venture capital","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Dan Gregory Founding (Greylock)","Greylock Partners",ea6fa37f-6d49-4404-bf59-45e58297d455,YES,YES,NO,"https://linkedin.com/in/dan-gregory-founding","Dan Gregory Founding is a partner at Greylock Partners. Focus on consumer, enterprise, and crypto at Series A+","Enterprise; SaaS; Consumer; AI/ML","Seed; Series A; Series B"
"Dan Morehead","Dan Morehead",21694281-c86c-444f-ac2d-03f0e77de821,YES,YES,YES,"https://linkedin.com/in/dan-morehead","Founder, Managing Partner at Pantera Capital Management","SaaS; AI/ML","Seed; Series A"
"Dan Morehead (Pantera Capital)","Dan Morehead (Pantera Capital)",5ed4c6e3-dc3e-49bd-b299-bb4c439b3480,YES,YES,YES,"https://linkedin.com/in/dan-morehead","Founder, Managing Partner at Pantera Capital. Founded firm in 2003, manages over $1B in blockchain assets.","SaaS; AI/ML","Seed; Series A"
"Dan Moskowitz","Third Point Ventures",f9799104-fa12-4ccb-8e49-28222161dc2a,YES,NO,NO,"https://linkedin.com/in/dan-moskowitz","Dan Moskowitz is an investor at Third Point Ventures focused on AI, SaaS, Fintech investing at Seed and Series A stage.","AI; SaaS; Fintech","Seed; Series A"
"Dan Robinson","Dan Robinson",bf31faba-f85e-413b-8c2f-a31912763f75,YES,YES,YES,"https://linkedin.com/in/dan-robinson","General Partner at Paradigm","technology","seed; series_a"
"Dan Robinson (Paradigm)","Paradigm",8a42f2fa-575d-468e-ad5f-c137f6d6ff51,YES,YES,NO,"https://linkedin.com/in/dan-robinson","Dan Robinson is a partner at Paradigm. Crypto-native investor in DeFi and web3","technology","seed; series_a"
"Dan Rochkind","Dan Rochkind",122d6cdc-2281-472e-a06e-5cba314c7b8f,YES,YES,YES,"https://linkedin.com/in/dan-rochkind","CFO at Lererhippeau since 2019","SaaS; AI/ML","Seed; Series A"
"Dan Rochkind (Lerer Hippeau)","Dan Rochkind (Lerer Hippeau)",823b2eed-2bd1-4388-807f-dca039e68831,YES,YES,YES,"https://linkedin.com/in/dan-rochkind","CFO at Lerer Hippeau since 2019","Generalist","Seed"
"Dan Westgarth","Expansion Capital",842c4689-24bb-41ed-9b1a-760db90cdec5,YES,YES,NO,"https://linkedin.com/in/dan-westgarth","","AI; SaaS; Fintech","Seed; Series A"
"Dana Stalder","Dana Stalder",fcb05968-0d06-4df8-840c-f5f18f4465c0,YES,NO,YES,"https://linkedin.com/in/dana-stalder","Specializes in FinTech and B2B investments","SaaS; AI/ML","Seed; Series A"
"Dana Stalder (Matrix Partners)","Dana Stalder (Matrix Partners)",e8336c1b-9faf-4866-b760-0e878286e9b5,YES,YES,YES,"https://linkedin.com/in/dana-stalder","Partner at Matrix Partners focusing on FinTech and B2B investments","SaaS; AI/ML","Seed; Series A"
"Daniel Gross","Pioneer.app",4133db8d-bfc0-48bb-b4c9-32e4b5de4e69,YES,YES,NO,"https://linkedin.com/in/daniel-gross","","AI; SaaS; Fintech","Seed; Series A"
"Daniel Gulati","Treble Capital",71fbaac6-9bf5-4898-8e4c-559ca600291a,YES,YES,NO,"https://linkedin.com/in/daniel-gulati","","AI; SaaS; Fintech","Seed; Series A"
"Daniel Sherman","Daniel Sherman",f47fa229-b876-4752-bb83-57ca65bc4702,YES,YES,YES,"https://linkedin.com/in/daniel-sherman","Head of Portfolio PR at Initialized","SaaS; AI/ML","Seed; Series A"
"Daniel Sherman (Initialized)","Initialized Capital",3c4c1a1e-c4c7-4932-86b3-b391fd211b89,YES,YES,NO,"https://linkedin.com/in/daniel-sherman","Head of Portfolio PR at Initialized","SaaS; Consumer; Developer Tools; AI/ML","Pre-Seed; Seed"
"Daniel Yum","Daniel Yum",6d5e9966-730e-46ea-8b71-20215d30f8f5,YES,YES,YES,"https://linkedin.com/in/daniel-yum","Principal at Playground","SaaS; AI/ML","Seed; Series A"
"Daniel Yum (Playground)","Playground Global",d323c74c-fc6a-4903-8e2d-98adc545cde5,YES,YES,NO,"https://linkedin.com/in/daniel-yum","Daniel Yum is a partner at Playground Global. Deep tech in robotics, AI, breakthrough hardware","SaaS; AI/ML","Seed; Series A"
"Danielle EzrattySenior (Nea)","New Enterprise Associates",3fdd0670-69d0-46cf-adbe-d560c2e4ff88,YES,YES,NO,"https://linkedin.com/in/danielle-ezrattysenior","Danielle EzrattySenior is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer; SaaS; HealthTech; FinTech","Seed; Series A; Series B; Growth"
"Danielle Lay","Danielle Lay",1e8b4b52-e435-4362-8079-49197f919ea9,YES,YES,YES,"https://linkedin.com/in/danielle-lay","Partner","SaaS; AI/ML","Seed; Series A"
"Danny Brown","MaC Venture",fef70c2c-e897-4e18-a155-8d11b16d40ee,YES,YES,NO,"https://linkedin.com/in/danny-brown","","AI; SaaS; FinTech","Seed; Series A"
"Danny Rimer (Index Ventures)","Index Ventures",1ef098dd-9d97-4bb0-9bf0-9abdbf0efc65,YES,YES,NO,"https://linkedin.com/in/danny-rimer","Danny Rimer is a partner at Index Ventures. Backs exceptional entrepreneurs across US and Europe","SaaS; Fintech; Consumer","Seed; Series A; Series B"
"Darling Ventures","Darling Ventures",35916ec8-7719-4ea2-9d31-d2f5de157d60,YES,YES,YES,"https://linkedin.com/in/darling-ventures","","Enterprise Software; Minority Founders; Female Founders","Pre-Seed; Seed"
"Dasha Maggio","Dasha Maggio",fafccd66-f442-49e1-afac-95d331c54dc2,YES,YES,YES,"https://linkedin.com/in/dasha-maggio","Co-Chief Operating Officer at Felicis","SaaS; AI/ML","Seed; Series A"
"Data Community Fund","Data Community Fund",9b974db1-75e4-4a25-9193-c43f7de12778,YES,YES,YES,"https://linkedin.com/in/data-community-fund","","Focused on B2B companies with a clear data-tech differentiation","Pre-Seed; Seed; Series A"
"Data Point Capital","Data Point Capital",888d004b-d3a4-41e9-8878-880f9cfa5d45,YES,YES,YES,"https://linkedin.com/in/data-point-capital","","Direct To Consumer; Enterprise Software; E-Commerce","Series A"
"Data What (Bvp)","Data What (Bvp)",2403f633-402a-4721-a386-a9580a1fffe8,YES,YES,NO,"https://linkedin.com/in/data-what","","AI; SaaS; Fintech","Seed; Series A"
"Data What (Bvp)","Data What (Bvp)",ace2c8f7-1fdb-445c-b073-e9267a1c14f6,YES,NO,NO,"https://linkedin.com/in/data-what","Data What is an investor at Bvp focused on AI, SaaS, Fintech investing at Seed and Series A stage.","AI; SaaS; Fintech","Seed; Series A"
"database profilePrivate equity","database profilePrivate equity",cb30b6a7-0b57-477b-95b8-1236b8a522b2,YES,YES,YES,"https://linkedin.com/in/database-profileprivate-equity","","SaaS; AI/ML","Seed; Series A"
"Dave Eisenberg","Zigg Capital",d3a020a3-fe30-401e-b767-edb9d2b8f529,YES,YES,NO,"https://linkedin.com/in/dave-eisenberg","","AI; SaaS; HealthTech","Seed; Series A"
"Dave Girouard (Firstround)","Dave Girouard (Firstround)",8b030587-b8ac-4975-a942-4b3939339bd9,YES,YES,NO,"https://linkedin.com/in/dave-girouard","","AI; SaaS; Healthtech","Seed; Series A"
"Dave Girouard (Firstround)","Dave Girouard (Firstround)",20fe7610-3f7b-4861-b040-13b0eb830f6c,YES,YES,NO,"https://linkedin.com/in/dave-girouard","","AI; SaaS; Consumer","Seed; Series A"
"Dave Strohm","Dave Strohm",9ba45e60-a6b9-4c06-8ddf-52b9a3f690ad,YES,YES,YES,"https://linkedin.com/in/dave-strohm","Emeritus Partner at Greylock","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Dave Strohm (Greylock)","Greylock Partners",818cf5c2-e958-4304-935b-442a39473389,YES,YES,NO,"https://linkedin.com/in/dave-strohm","Dave Strohm is a partner at Greylock Partners. Focus on consumer, enterprise, and crypto at Series A+","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Dave White","Dave White",7fa24f8a-7d34-40a1-a35a-e5bebbc010d7,YES,YES,YES,"https://linkedin.com/in/dave-white","Research Partner at Paradigm","technology","seed; series_a"
"Dave White (Paradigm)","Paradigm",9423c591-fa34-4d8b-bea8-f1f57144b103,YES,YES,NO,"https://linkedin.com/in/dave-white","Dave White is a partner at Paradigm. Crypto-native investor in DeFi and web3","technology","seed; series_a"
"David Breger","Google Ventures",a8c77865-97a6-45c0-a656-395080aaccdb,YES,YES,YES,"https://www.gv.com","GV supports innovative founders moving the world forward. They have backed 50+ companies building the next generation of AI-native applications and focus on AI's frontier across healthcare, dev tools,","AI/ML; API; Technology; AI Applications; HealthTech; Dev Tools & Security; Infrastructure; Consumer; Enterprise Software; Life Sciences; Frontier Tech","Pre-Seed; Seed; Series A; Series B"
"David Cowan","David Cowan",03480ea3-1552-4728-b676-8c096c486f16,YES,YES,YES,"https://linkedin.com/in/david-cowan","Partner at Bessemer Venture Partners","SaaS; Cloud; Healthcare","Seed; Series A; Series B; Growth"
"David Doctorow","David Doctorow",a682c6d6-b870-42de-b9eb-2b81b7ddb888,YES,YES,YES,"https://linkedin.com/in/david-doctorow","Partner at Nyca Partners","SaaS; AI/ML; Consumer; Fintech","Pre-Seed; Seed"
"David Evans","Sentiero Ventures",f05929b9-d202-44e3-92c9-951cea6de5fb,YES,NO,NO,"https://linkedin.com/in/david-evans","David Evans is an investor at Sentiero Ventures focused on AI, SaaS, Healthcare investing at Seed and Series A stage.","AI; SaaS; Healthcare","Seed; Series A"
"David Fialko","David Fialko",a17e5d9b-1552-4c1a-b1e3-9173eb69cdde,YES,YES,YES,"https://linkedin.com/in/david-fialko","Co-Founder & Managing Director","SaaS; AI/ML","Seed; Series A"
"David Fialkov","David Fialkov",434ffcc2-2004-4407-aab6-819eabd72ecf,YES,YES,YES,"https://linkedin.com/in/david-fialkov","Co-Founder & Managing Director at General Catalyst","SaaS; Consumer; Fintech; Healthcare","Seed; Series A; Series B; Growth"
"David Fialkow (General Catalyst)","General Catalyst",a7b130cb-bbad-49d1-bb44-50beda9d6566,YES,YES,NO,"https://linkedin.com/in/david-fialkow","Co-Founder & Managing Director at General Catalyst","SaaS; Consumer; Fintech; Healthcare; Defense; AI/ML","Seed; Series A; Series B; Growth"
"David George","David George",fb91d9e3-946a-4f3d-9196-9f1971271ff2,YES,YES,YES,"https://linkedin.com/in/david-george","Andreessen Horowitz General Partner focusing on growth investments","SaaS; AI/ML","Seed; Series A"
"David Gussarsky","David Gussarsky",b0489b45-b90e-40cf-9c52-157073685625,YES,YES,YES,"https://linkedin.com/in/david-gussarsky","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"David Mort","Propel Venture Partners",43f10f82-3c9c-434c-8aec-2efed9832e09,YES,NO,NO,"https://linkedin.com/in/david-mort","David Mort is an investor at Propel Venture Partners focused on AI, SaaS, HealthTech investing at Seed and Series A stage.","AI; SaaS; HealthTech","Seed; Series A"
"David Puth","David Puth",03f6ef3a-db39-4cd6-9097-d866954a9c5f,YES,YES,YES,"","Partner at Nyca Partners","SaaS; AI/ML; Consumer; Fintech","Pre-Seed; Seed"
"David Skok","David Skok",26f46181-484b-4769-a8c9-6b6b4f41fb9a,YES,NO,YES,"https://linkedin.com/in/david-skok","Specializes in B2B and Infrastructure","SaaS; AI/ML","Seed; Series A"
"David Skok (Matrix Partners)","David Skok (Matrix Partners)",501b03a7-ef10-46e6-9bf0-7a20757b583e,YES,YES,YES,"https://linkedin.com/in/david-skok","Partner at Matrix Partners focusing on B2B and Infrastructure investments","SaaS; AI/ML","Seed; Series A"
"David Swain","David Swain",5437d756-a380-4837-8ac9-a560ef6a4643,YES,YES,YES,"https://linkedin.com/in/david-swain","Chief Marketing Officer","SaaS; AI/ML","Seed; Series A"
"David Weiden","David Weiden",fcd045ea-98dc-465c-aa54-2d35ae239142,YES,YES,YES,"https://linkedin.com/in/david-weiden","Managing Director at Khosla Ventures","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"David Weiden (Khosla Ventures)","Khosla Ventures",b8f0061b-5d5d-4804-821c-40ca23c92380,YES,YES,NO,"https://linkedin.com/in/david-weiden","Managing Director at Khosla Ventures","DeepTech; CleanTech; AI/ML; Healthcare; SpaceTech; Energy","Seed; Series A; Series B"
"Davis Treybig","Innovation Endeavors",36a59e04-1a87-4435-88c4-81d1ca5bfbdd,YES,NO,YES,"https://www.innovationendeavors.com","Early-stage venture firm investing in the Super Evolution — a non-linear approach to innovation that drives change in order to solve problems that matter. They invest in technical founders solving har","Analytics; Intelligent Software; Computing Infrastructure; Physical Economy; Engineering Health","Pre-seed; Seed; Series A"
"day ago PAI (Pehub)","day ago PAI (Pehub)",49810e1a-8477-4950-8bca-9515914037a6,YES,YES,YES,"","","SaaS; AI/ML",""
"Daybreak Capital","Daybreak Capital",8c8918c2-84cb-478b-854b-e7f41a96a4e4,YES,YES,YES,"","Discovered from: FinSMEs","AI/ML","Seed; Series A"
"DCVC","DCVC",00debf4d-1545-4139-919f-1b85f7f37197,YES,YES,NO,"https://linkedin.com/in/dcvc","DCVC is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"de Arruda","de Arruda",20575642-087d-489a-92e4-7a45fc1211bc,YES,YES,NO,"https://linkedin.com/in/de-arruda","","AI; SaaS; FinTech","Seed; Series A"
"Deal Account Management","Deal Account Management",66850589-e05a-4f2e-a11c-7f0df16221b8,YES,YES,NO,"https://linkedin.com/in/deal-account-management","","AI; SaaS; Fintech","Seed; Series A"
"Deal Account Management","Deal Account Management",c1a82576-3733-402b-8f65-cbc08900b3b5,YES,YES,YES,"https://linkedin.com/in/deal-account-management","","SaaS; AI/ML","Seed; Series A"
"deal or fund","deal or fund",ac5ed5c9-0a28-4a67-8058-2242b1d93754,YES,YES,YES,"","","SaaS; AI/ML",""
"Dean Meyer","Dean Meyer",87f8117b-599d-4a1e-8806-77f6b6507feb,YES,YES,YES,"https://linkedin.com/in/dean-meyer","Sequoia Capital Partner focused on Seed/Early stage investments","SaaS; AI/ML","Seed; Series A"
"Dean Meyer (Sequoiacap)","Sequoia Capital",a5048dc5-a543-4ef6-9dfd-2c16d3dbe5bc,YES,YES,NO,"https://linkedin.com/in/dean-meyer","Seed/Early stage investor at Sequoia Capital","AI/ML; SaaS; Consumer; Fintech; Enterprise","Seed; Series A; Series B; Growth"
"Deborah Chu","NextGen Venture Partners",ff7ddffe-a4ae-4deb-850c-1d671cc7adec,YES,NO,NO,"https://linkedin.com/in/deborah-chu","Deborah Chu is an investor at NextGen Venture Partners focused on AI, SaaS, HealthTech investing at Seed and Series A stage.","AI; SaaS; HealthTech","Seed; Series A"
"Decibel Partners","Decibel Partners",8b373718-07b4-4ec2-b571-3952440b200c,YES,YES,YES,"https://linkedin.com/in/decibel-partners","","We focus on early stage B2B software","Seed"
"Decision ScienceSteven AldrichBoard (Firstround)","Decision ScienceSteven AldrichBoard (Firstround)",0223f0f6-0059-4f78-8a8d-8eea256eb918,YES,NO,YES,"https://linkedin.com/in/decision-sciencesteven-aldrichboard","Decision Science Steven Aldrich Board is an investor at Decision ScienceSteven AldrichBoard (Firstround) focused on AI, SaaS, Consumer investing at Seed and Series A stage.","AI; SaaS; Consumer","Seed; Series A"
"Deena Shakir","Lux Capital",babcda1f-8d80-4c3d-b60d-16deb8627854,YES,YES,NO,"https://linkedin.com/in/deena-shakir","Lux Capital invests in emerging science and technology ventures.","AI/ML; API; Healthcare; DeepTech","Pre-Seed; Seed; Series A; Series B"
"Deerfield","Deerfield",45eebbc1-f12e-4b4f-adcb-cb7a4e6f6968,YES,YES,YES,"https://linkedin.com/in/deerfield","Focuses on healthcare investments and innovation.","technology","seed; series_a"
"DengGeneral PartnerAstasia MyersGeneral (Felicis)","DengGeneral PartnerAstasia MyersGeneral (Felicis)",1e498eac-b484-476a-8e4b-4ea20af7a1a7,YES,YES,YES,"https://linkedin.com/in/denggeneral-partnerastasia-myersgeneral","","SaaS; Consumer; Fintech","Seed; Series A"
"Denise Gilbert","Denise Gilbert",8eb009e5-f72a-4e24-9cd7-0939bd4d61c2,YES,YES,YES,"https://linkedin.com/in/denise-gilbert","Team Member at Ribbitcap","SaaS; AI/ML","Seed; Series A"
"Denise Gilbert (Ribbit Capital)","Denise Gilbert (Ribbit Capital)",5806af86-ae09-41ba-83c7-0f6abf9264f9,YES,YES,YES,"https://linkedin.com/in/denise-gilbert","Partner at Ribbit Capital","technology","seed; series_a"
"Dennis Xu","Dennis Xu",13e2f466-27ab-4f11-bc98-e40208029257,YES,YES,YES,"","Partner at Hustle Fund","SaaS; AI/ML",""
"DesignVidhu PinnamarajuSenior Finance","DesignVidhu PinnamarajuSenior Finance",ff8e27f6-8697-4508-ac30-c33f6e177e89,YES,NO,YES,"","Design Vidhu Pinnamaraju Finance is an investor at DesignVidhu PinnamarajuSenior Finance focused on Technology investing at Seed and Series A stage.","Technology","Seed; Series A"
"DesignVidhu PinnamarajuSenior Finance","DesignVidhu PinnamarajuSenior Finance",5a405197-435e-42ea-b132-5982697e15d9,YES,YES,YES,"","","SaaS; AI/ML",""
"Details and Delegation (Firstround)","Details and Delegation (Firstround)",8543c91b-6a75-489c-85e7-2d611a3298e8,YES,YES,NO,"https://linkedin.com/in/details-and-delegation","","AI; SaaS; HealthTech","Seed; Series A"
"Details and Delegation (Firstround)","Details and Delegation (Firstround)",16a8060f-7663-4b82-8bc5-af2376006b6d,YES,NO,NO,"https://linkedin.com/in/details-and-delegation","Details and Delegation is an investor at Firstround focused on AI, SaaS, Healthcare investing at Seed and Series A stage.","AI; SaaS; Healthcare","Seed; Series A"
"DetweilerPartnerFeyza Haskaraman (Felicis)","DetweilerPartnerFeyza Haskaraman (Felicis)",ded5981f-a8d8-4a3c-af2e-02366e916f81,YES,NO,YES,"https://linkedin.com/in/detweilerpartnerfeyza-haskaraman","Feyza Haskaraman is an investor at Felicis focused on SaaS, Consumer, Fintech investing at Seed and Series A stage.","SaaS; Consumer; Fintech","Seed; Series A"
"Deven Parekh","Deven Parekh",bcdb7986-8e2e-405e-b8df-5fe529aa571e,YES,NO,YES,"https://linkedin.com/in/deven-parekh","Managing Director at Insight Partners","SaaS; Enterprise","Series B; Growth"
"DFJ","DFJ",cf52f10c-48d1-41bc-ab1d-3153df595388,YES,YES,YES,"https://linkedin.com/in/dfj","Venture capital firm","SaaS; AI/ML","Seed; Series A"
"Diana Berisha","Diana Berisha",012e49fc-400e-4534-bf0e-c3e3871e2374,YES,YES,YES,"https://linkedin.com/in/diana-berisha","Partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Diana Berisha (Spark Capital)","Diana Berisha (Spark Capital)",0e24be3a-d87d-40f5-a809-0dadd7a4d0a1,YES,YES,YES,"https://linkedin.com/in/diana-berisha","Operations team member at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Diana Bernstein, Ph.D.","Diana Bernstein, Ph.D.",80425aae-78dc-4f5e-a8e1-e8b0908e8785,YES,NO,YES,"https://linkedin.com/in/diana-bernstein","Diana Bernstein, Ph.D. is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Diana Bernstein, Ph.D. (North Pond Ventures)","Diana Bernstein, Ph.D. (North Pond Ventures)",ff7a05ab-6289-452d-8743-a205973216d9,YES,YES,YES,"https://linkedin.com/in/diana-bernstein","Director","SaaS; AI/ML","Seed; Series A"
"Diana Hu","Diana Hu",d2d218ae-5617-4d1a-89e5-1b7da3497dc5,YES,NO,YES,"https://linkedin.com/in/diana-hu","Diana Hu is a angel investor focused on SaaS, AI/ML, Consumer investing at Pre-Seed and Seed stage.","SaaS; AI/ML; Consumer; Fintech","Pre-Seed; Seed"
"Diana Reyes","Diana Reyes",c005c906-a1d7-4ef7-a9a4-e2a5345c19c2,YES,YES,YES,"https://linkedin.com/in/diana-reyes","Operator at Khosla Ventures","SaaS; AI/ML","Seed; Series A"
"Diana Reyes (Khosla Ventures)","Khosla Ventures",24b86d91-2ad9-47cc-b03e-6bbf0c2748cd,YES,YES,NO,"https://linkedin.com/in/diana-reyes","Diana Reyes is a partner at Khosla Ventures. Audacious ideas in AI, sustainability, healthcare","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Differential Ventures","Differential Ventures",b824a6b1-4e41-495f-a892-34defcbe293b,YES,YES,NO,"https://linkedin.com/in/differential-ventures","","AI; SaaS; HealthTech","Seed; Series A"
"digital asset fund","digital asset fund",67960f2e-c988-444d-bf95-72418bd3a0e8,YES,NO,NO,"https://linkedin.com/in/digital-asset-fund","Digital Asset Fund is a vc firm focused on Blockchain, DeFi, NFTs investing at Seed and Series A stage.","Blockchain; DeFi; NFTs","Seed; Series A"
"digital asset fund","digital asset fund",bb8ed460-7b03-49d9-918f-11f04ccff1d1,YES,YES,NO,"https://linkedin.com/in/digital-asset-fund","","Blockchain; DeFi; NFTs","Seed; Series A"
